case,experiment,input_kind,efficiency_mode,h0,h1,sector,sigma_sub,omega,eta_I,e_q,peak,hours_mixing,kappa,A_req_pct,A_req_frozen_pct,dY_pct,dInf_pp,dGHH_pct,CE_pct,classification
5,CES_grid,reprocessed,bilateral,120.0,40,industry,1.1,0.622,0.5,0.6,40.0,0.0,0.0021098039890823555,0.6987317446455865,0.693505381697701,-0.6991597183915843,0.07881770721100412,2.8476260331274594,2.2306403926165097,sensitivity_not_identified_set
5,CES_grid,reprocessed,bilateral,120.0,40,services,1.1,0.622,0.5,0.6,40.0,0.0,0.0021098039890823555,-0.07244737215696961,-0.07250655188918431,0.07250654783579336,-0.0033547676059009213,4.346854005776074,3.405035637857925,sensitivity_not_identified_set
5,CES_grid,reprocessed,bilateral,120.0,40,AGGREGATE,1.1,0.622,0.5,0.6,40.0,0.0,0.0021098039890823555,0.02999971069415075,0.051509825155982014,-0.030690724856852203,-0.007537475446728337,4.016655746737453,3.146380334944338,sensitivity_not_identified_set
5,CES_grid,reprocessed,bilateral,120.0,36,agriculture,1.1,0.622,0.5,0.6,40.0,0.0,0.0021098039890823555,4.714566017944377,4.543476833299076,-6.01297671040485,1.2985846942312085,-2.8453197934918943,-2.2288338382353174,sensitivity_not_identified_set
5,CES_grid,reprocessed,bilateral,120.0,36,industry,1.1,0.622,0.5,0.6,40.0,0.0,0.0021098039890823555,6.604997370977883,6.555456725347764,-6.244436042180368,0.7372312122123303,-0.2667844222792591,-0.2089811307854196,sensitivity_not_identified_set
5,CES_grid,reprocessed,bilateral,120.0,36,services,1.1,0.622,0.5,0.6,40.0,0.0,0.0021098039890823555,5.340588415479686,5.346170894324276,-5.070316716449796,0.240778037023065,1.693806017408586,1.3268147136367259,sensitivity_not_identified_set
5,CES_grid,reprocessed,bilateral,120.0,36,AGGREGATE,1.1,0.622,0.5,0.6,40.0,0.0,0.0021098039890823555,5.578623234043123,5.576924385118898,-5.405251554293489,0.42256900248044404,0.9351825053895011,0.7325596292217759,sensitivity_not_identified_set
5,CES_grid,reprocessed,flat_below,120.0,40,agriculture,1.1,0.622,0.5,0.6,40.0,0.0,0.0021098039890823555,-0.9632941246625504,-0.929184058533794,1.3045199079565695,-0.27742282441993726,4.671941685005181,3.6596876532540588,sensitivity_not_identified_set
5,CES_grid,reprocessed,flat_below,120.0,40,industry,1.1,0.622,0.5,0.6,40.0,0.0,0.0021098039890823555,0.6928734062411346,0.687710463745117,-0.6932927686147838,0.07800030852366246,2.855081493911475,2.2364805035639885,sensitivity_not_identified_set
5,CES_grid,reprocessed,flat_below,120.0,40,services,1.1,0.622,0.5,0.6,40.0,0.0,0.0021098039890823555,-0.07021100960281634,-0.07027360611407962,0.07026800691161128,-0.003211984048889782,4.344004164518908,3.4028032622064783,sensitivity_not_identified_set
5,CES_grid,reprocessed,flat_below,120.0,40,AGGREGATE,1.1,0.622,0.5,0.6,40.0,0.0,0.0021098039890823555,0.029363727265452333,0.050448594402485725,-0.030033176786270488,-0.007353170711038581,4.017510715894906,3.1470500607843426,sensitivity_not_identified_set
5,CES_grid,reprocessed,flat_below,120.0,36,agriculture,1.1,0.622,0.5,0.6,40.0,0.0,0.0021098039890823555,3.272794096333276,3.1546686282394765,-4.234396030821086,0.9108642789861121,-0.57334255860506,-0.4491183375739636,sensitivity_not_identified_set
5,CES_grid,reprocessed,flat_below,120.0,36,industry,1.1,0.622,0.5,0.6,40.0,0.0,0.0021098039890823555,5.099120032055593,5.061044247110047,-4.889199276686773,0.5694871565579962,1.4676028671034187,1.149622245897678,sensitivity_not_identified_set
5,CES_grid,reprocessed,flat_below,120.0,36,services,1.1,0.622,0.5,0.6,40.0,0.0,0.0021098039890823555,3.8780707207899168,3.882181506033744,-3.733712323548377,0.17391608398080738,3.4005855608335316,2.663792022652933,sensitivity_not_identified_set
5,CES_grid,reprocessed,flat_below,120.0,36,AGGREGATE,1.1,0.622,0.5,0.6,40.0,0.0,0.0021098039890823555,4.10470713912785,4.107441145704005,-4.032874822369337,0.3107436764877014,2.6884972491061667,2.1059895117998306,sensitivity_not_identified_set
6,CES_grid,reprocessed,bilateral,120.0,40,agriculture,1.1,0.7,0.3,0.6,40.0,0.0,0.0021098039890823555,-1.1064822288653464,-1.0734750053328135,1.7064155137230363,-0.37890498599281175,5.177629872707379,4.0558100669541135,sensitivity_not_identified_set
6,CES_grid,reprocessed,bilateral,120.0,40,industry,1.1,0.7,0.3,0.6,40.0,0.0,0.0021098039890823555,0.7974971728304414,0.7844197110277396,-0.8411100427288987,0.17464088998608296,2.670429150814411,2.091836168137956,sensitivity_not_identified_set
6,CES_grid,reprocessed,bilateral,120.0,40,services,1.1,0.7,0.3,0.6,40.0,0.0,0.0021098039890823555,-0.08263024614216796,-0.08179245496831022,0.08453098976761719,-0.011829909868321664,4.3617371830258955,3.416694126703618,sensitivity_not_identified_set
6,CES_grid,reprocessed,bilateral,120.0,40,AGGREGATE,1.1,0.7,0.3,0.6,40.0,0.0,0.0021098039890823555,0.03676766893261352,0.06178458005798859,-0.03898397170137846,-0.0014511375260706227,4.006063220755123,3.1380828562581793,sensitivity_not_identified_set
6,CES_grid,reprocessed,bilateral,120.0,36,agriculture,1.1,0.7,0.3,0.6,40.0,0.0,0.0021098039890823555,5.382959169585977,5.21729248219116,-7.709186779121158,1.7349455909194234,-5.012327095392765,-3.9263228913909995,sensitivity_not_identified_set
6,CES_grid,reprocessed,bilateral,120.0,36,industry,1.1,0.7,0.3,0.6,40.0,0.0,0.0021098039890823555,7.574056483692204,7.4466249605437795,-7.502664094870248,1.6560495339616677,-1.8965915973556138,-1.4856634179285642,sensitivity_not_identified_set
