version,efficiency_mode,hours_cap,sigma_sub,omega,kappa,Y0,Y1,C0,C1,dY_pct,A_req_pct,A_req_frozen_pct,baseline_informality_pct,informality_pct,dInf_pp,dGHH_pct,CE_pct,hours_pct,efficiency_pct,reallocation_pct,decomposition_total_pct,dimension,eta_I,E_Q,h_star,hourly_ratio,passes_assumed_R_interval,restrictions_note,theta_36,theta_40,theta_44
sensitivity,bilateral,40,1.0,0.58,0.0021098039890823555,3.6467503185969887,3.5891503702061467,3.6467503185969887,3.5891503535841376,-1.5794870325260502,1.543683679338148,1.543683679338148,40.9158050221565,40.96568070039307,0.049875678236571686,0.8249683546540889,0.6462252111457031,-2.330715332131532,0.8104989844432843,-0.059270684837807466,-1.579487032526055,CES_grid,0.4,0.6,40.0,0.9960614299692006,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,1.0,0.58,0.0021098039890823555,3.875809859069432,3.8145918076174268,3.875809859069432,3.8145917909884925,-1.5794905755955546,1.543683679338148,1.543683679338126,40.91580502215649,40.96569955765959,0.04989453550309775,0.8249623952547191,0.64622054294953,-2.3307153321315255,0.8104989844432865,-0.05927422790731751,-1.5794905755955564,CES_grid,0.5,0.6,40.0,0.9960614299692006,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,1.0,0.622,0.0021098039890823555,3.618597781845314,3.5569529033120713,3.618597781845314,3.5569528581062855,-1.7035570751333107,1.6563885600504369,1.6563885600504369,40.915805022156576,41.02535875148994,0.1095537293333615,0.6619260586732757,0.5185087459607327,-2.49736662658923,0.8679672513871811,-0.07415769993126073,-1.7035570751333096,CES_grid,0.33,0.6,40.0,1.1868777958636874,True,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,1.0,0.622,0.0021098039890823555,3.7937401207597037,3.729111323978646,3.7937401207597037,3.7291112787569944,-1.7035641536804924,1.656388560050459,1.6563885600504369,40.91580502215657,41.02538464878363,0.10957962662705434,0.6619150755945743,0.5185001425490832,-2.497366626589222,0.8679672513871688,-0.0741647784784431,-1.7035641536804964,CES_grid,0.4,0.6,40.0,1.1868777958636876,True,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,1.0,0.622,0.0021098039890823555,4.007544630956494,3.9392732243772235,4.007544630956494,3.939273179138074,-1.7035719590470566,1.6563885600504369,1.6563885600504147,40.915805022156576,41.025413205309185,0.10960818315260967,0.6619029648026215,0.5184906557620534,-2.497366626589231,0.8679672513872053,-0.07417258384503597,-1.7035719590470617,CES_grid,0.5,0.6,40.0,1.1868777958636878,True,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,1.0,0.66,0.0021098039890823555,3.7693001279630076,3.700442469963522,3.7693001279630076,3.700442377843483,-1.8268022089473979,1.7584674285715973,1.7584674285715973,40.915805022156576,41.09066218512783,0.1748571629712592,0.499496963274675,0.3912726212318287,-2.6479013343088997,0.9198216245727694,-0.09872249921127269,-1.826802208947403,CES_grid,0.33,0.6,40.0,1.4001431459810514,True,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,1.0,0.66,0.0021098039890823555,3.9330040769558576,3.861155408608428,3.9330040769558576,3.8611553164588823,-1.826813980905917,1.7584674285716195,1.7584674285715973,40.91580502215659,41.09069582617983,0.1748908040232422,0.49947944012519435,0.3912588947647355,-2.647901334308889,0.9198216245727542,-0.09873427116978747,-1.8268139809059225,CES_grid,0.4,0.6,40.0,1.400143145981052,True,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,1.0,0.66,0.0021098039890823555,4.131821103289464,4.056339878630426,4.131821103289464,4.056339786448172,-1.8268270278920196,1.7584674285715973,1.7584674285715973,40.91580502215659,41.090733110925214,0.17492808876862775,0.49946001908022786,0.3912436816128451,-2.647901334308885,0.9198216245727571,-0.09874731815588654,-1.8268270278920145,CES_grid,0.5,0.6,40.0,1.4001431459810523,True,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,1.116,0.58,0.0021098039890823555,3.5498611721063718,3.489618603772784,3.5498611721063718,3.4896185043407817,-1.697040121088511,1.6588655509511385,1.6520647884172623,40.91580502215657,41.10922773311194,0.193422710955371,0.6637020851147573,0.5198999666732265,-2.4899112201523783,0.86469603947116,-0.07182494040728916,-1.6970401210885073,CES_grid,0.33,0.6,40.0,1.1812904098484276,True,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,1.116,0.58,0.0021098039890823555,3.7232972706428775,3.6606799806487196,3.7232972706428775,3.6606798877650593,-1.6817698250386037,1.645276968357856,1.6393137982442463,40.91580502215651,41.10154363188113,0.1857386097246172,0.6837958539348775,0.5356400855823207,-2.4710731322910964,0.8581993957580888,-0.06889608850559915,-1.6817698250386068,CES_grid,0.4,0.6,40.0,1.1577611473285485,True,R interval is a hypothesis; other empirical restrictions not imposed,,,
